english,tamil
Director of Education,கல்விப் பணிப்பாளர்
Aesthetic Education Branch (1st Floor),அழகியற் கலைகள் கிளை (1 ம் மாடி)
Vision,தூரநோக்கு
To: Hon. Minister of Mass Media and Information,"கௌரவ ஊடக மற்றும் தகவல்துறை அமைச்சருக்கு,"
"We, the Chairman and the Members of the Sri Lanka Rupavahini Corporation present herewith the Annual Report for the year 2012, in accordance with Section 14 (1) of the Finance Act No. 38 of 1971, along with the financial reports.",இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனத்தின் தலைவர் மற்றும் உறுப்பினர்களாகிய நாம் 1971 ஆம் ஆண்டு 38ஆம் இலக்க நிதிச்சட்டத்தின் 14(1) கீழ் 2012 ஆம் ஆண்டுக்கான வருடாந்த அறிக்கையை இத்தாள் சமர்ப்பிக்கின்றோம்.
On behalf of the Sri Lanka Rupavahini Corporation,இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனம் சார்பாக
"Chairman,","தலைவர்,"
"Sri Lanka Rupavahini Corporation,","இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனம்,"
"Independence Square,","சுதந்திர சதுக்கம்,"
Colombo 07.,கொழும்பு 07.
To be the flagship broadcaster of all Sri Lankans.,அனைத்து இலங்கையர்களினதும் ஒளிபரப்புத்துறையின் முன்னோடியாக திகழ்தல்.
"Achieve excellence in creative content and dissemination of timely and valued, educational, entertaining and informative programmes through dedicated team work and state-of-the-art technology to exceed the expectation of Sri Lankans everywhere.","அறிவு, பொழுதுபோக்கு, கல்வி சார்ந்த படைப்புகளை காலத்திற்கு ஏற்ற வகையில் அர்ப்பணிப்புடன் இணைந்து  தயாரித்து புதிய தொழில்நுட்பத்தின் ஊடாக மெருகூட்டி இலங்கை ரசிகர்களின் எதிர்பார்ப்புகளை மிஞ்சும் வகையில் ஒளிபரப்புதல்."
Aims,இலக்குகள்
"* To produce informative, educational and entertaining programmes while maintaining the highest standards and creativity",*	கல்வியை அடிப்படையாகக் கொண்டு தயாரிக்கப்பட்ட அறிவு களிப்பூட்டல்  தயாரிப்புக்களை வழங்கல்.
* To attract maximum number of viewers through excellent transmission,*	தரமான நிகழ்ச்சிகளை ஒளிபரப்புவதன் மூலம் ஆகக் கூடுதலான ரசிகர்களை கவர்ந்திழுத்தல்.
* To achieve financial stability and growth to run as a commercially viable autonomous state enterprise,"*	வர்த்தக ரீதியாக சாத்தியமானதும், சுயேச்சையானதுமான அரசாங்க நிறுவனம் என்ற ரீதியில் முன்னெடுப்பதற்குத் தேவையான நிதி ஸ்திரத் தன்மையையும் வளர்ச்சியையும் அடைதல்."
* To protect the national identity of Sri Lankans the world over,*	உலக நாடுகள் அனைத்திலும் வாழும் இலங்கையர்களின் தேசிய அடையாளத்தை உறுதி செய்வதற்கு பங்களிப்புச் செய்தல்.
Message from the Chairman,தலைவரின் செய்தி
Board of Directors,கூட்டுத்தாபன பணிப்பாளர் சபை
Senior Management,சிரேஷ்ட முகாமைத்துவம்
Directors,பணிப்பாளர்கள்
Award Winning Achievements,விருதுகளைப் பெற்றுத்தந்த வெற்றிகள்
Programmes Division,நிகழ்ச்சிப் பிரிவு
News and Current Affairs Division,செய்தி மற்றும் நடப்பு விவகாரப் பிரிவு
Production Services Division,தயாரிப்புச் சேவைகள் பிரிவு
Engineering Division,பொறியியல் பிரிவு
Marketing Division,சந்தைப்படுத்தல் பிரிவு
Airtime Analysis,ஒளிபரப்பு நேர பகுப்பாய்வு
Finance Division,நிதிப்பிரிவு
Statement of Directors’ Responsibility,பணிப்பாளர்களின் பொறுப்பு குறித்த அறிக்கை
Financial Report,நிதி அறிக்கை
Audit Report,கணக்காய்வு அறிக்கை
For over three decades we have been fulfilling our national obligation while remaining at the forefront of mass communication on behalf of all Sri Lankans.,அனைத்து இலங்கை மக்களினதும் தொடர்பாடல்களின் முன்னோடியாக  மூன்று தசாப்தகாலத்திற்கு மேலாக நாம் தேசிய பணியை முன்னெடுப்பதில் ஈடுபட்டுள்ளோம்.
The challenges that lie ahead grow ever more complex than those we have left behind.,நாம் கடந்து வந்த பாதையிலும் பார்க்க நாம் இன்னும் கடக்கவேண்டிய தூரத்திலுள்ள சவால்கள் சிக்கல் நிறைந்தவையாகும்.
Over two dozen competitors have entered the market where we enjoyed near monopoly thirty years ago.,முப்பது வருடங்களுக்கு முன்னர் நாம் மாத்திரம் இருந்த சந்தையில் 24க்கும் மேற்பட்ட போட்டியாளர்கள் எம்முடன் ஒன்றிணைந்துள்ளனர்.
While many private channels resort to extreme commercialism in the midst of intense competition we continue to honour our national responsibility and cater to audiences without compromising good taste and higher standards.,இந்த போட்டிக்கு மத்தியில் பிற்போக்கு பாதையில் சில தனியார் அலைவரிசைகள் தமது நடவடிக்கைகளை முன்னெடுத்துள்ள நிலையில் நாம் தேசிய பொறுப்புடன் எமது ரசிகர்களின் ரசனைக்காக சேவையாற்றியுள்ளோம்.
Keeping pace with rapid technological advances in the field is an imperative.,மற்றுமொரு புறத்தில் துரிதமாக மாறிவரும் தொழில்நுட்பத்திற்கு மாற வேண்டியுள்ளது.
There is a need of considerable spending in order to do so.,இதற்காக பாரிய தொகையை செலவிட வேண்டியுள்ளது.
We have been successful in absorbing the very high cost involved in this process,இவை அனைத்தையும் எம்மால் பெறப்பட்ட வருமானத்தின் மூலமே ஈடு செய்ய முடிந்தது.
The long list of local as well as international awards and accolades we have won this year is ample proof for the recognition and appreciation of the national duty which we have fulfilled creatively.,நாம் மேற்கொண்ட காத்திரமான தேசிய பணிக்கு கிடைத்த பாராட்டுக்கள் இந்த ஆண்டில் எமக்கு தேசிய ரீதியிலும் சர்வதேச ரீதியிலும் கிடைத்த விருதுகளாகும்.
Our list of awards is a clear evident of that.,இதற்கு எமது விருதுகள் பட்டியல் சாட்சி பகர்கின்றது.
"Overcoming challenges in the market, we have surpassed our projected targets of income, signifying yet another major achievement.",வர்த்தக சந்தையில் சவால்களை வெற்றி கொண்டு எதிர்பார்த்த வருமானத்தையும் இலக்கையும் அடைய முடிந்தமை நாம் அடைந்த வர்த்தக சந்தை வெற்றியாகும்.
"The introduction of dubbed versions of high-quality foreign teledrama series such as “Oshin” and “Sujatha Diyani” proved to be a tremendous success in winning massive audiences as well as securing record-breaking income figures for the airtime belt of 6.30 p.m., which previously had no market value.",வர்த்தக சந்தையில் பெறுமதியற்று காணப்பட்ட மாலை 6.30 போன்ற ஒளிபரப்பு காலத்திற்காக “ஓசின்” மற்றும் “சுஜாத்த தியனிய” குரல்பதிவு செய்யப்பட்ட உயர்தரமான வெளிநாட்டுத் தொடர் நாடகங்கள் அறிமுகப்படுத்தப்பட்டதன் மூலம் குறிப்பிடத்தக்க ரசிகர்களை ஒன்று திரட்டவும் குறிப்பிடத்தக்க வருமானத்தையும் இக்காலப்பகுதியில் பெற்றுக்கொள்ள முடிந்தது.
Accomplishing all this while eradicating wasteful practices and financial irregularities was yet another remarkable achievement.,வீண் செலவுகளுக்காகவும் நிதி மோசடிகளுக்காகவும் இருந்த சந்தர்ப்பங்களை இல்லாதொழித்து அனைத்துப் பணிகளையும் மேற்கொள்ள முடிந்தமை நாம் அடைந்த வெற்றியாகும்.
With the purchase of essential engineering and studio equipment we have also saved a huge sum of money which could have otherwise been spent for outsourcing.,பல வருடங்களாக குறைபாடாக இருந்த பொறியியல் மற்றும் கலையகங்களுக்கான உபகரணங்கள் கொள்வனவு செய்யப்பட்டதினால் சேவை நிறுவனங்களுக்காக செலுத்தப்பட்ட பாரிய தொகையை சேமிக்க முடிந்தது.
"The need for a formal plan to maintain optimum functioning as well as to overcome future challenges has been recognized. Accordingly, we have been able to formulate a Corporate Plan for the time period 2013 – 2017 and commence operations with a view to achieve annual targets.",இந்த நிலைமையை தொடர்ந்தும் முன்னெடுப்பதற்கும் எதிர்கால சவால்களை வெற்றி கொள்வதற்குமான முறையான திட்டத்தின் தேவை அடையாளங் காணப்பட்டு 2013 – 2017ம் ஆண்டு வரையிலான காலப்பகுதிக்கான உத்தேசத் திட்டம் தயாரிக்கப்பட்டு வருடாந்த இலக்கை அடைவதற்கான நடவடிக்கையை முன்னெடுக்க எம்மால் முடிந்துள்ளது.
It was undoubtedly the ample support and commitment by our entire staff including Managers that have made all this possible.,முகாமையாளர் அடங்கலான சகல பணியாளர்களினதும் தடையற்ற ஒத்துழைப்பு கிடைத்தமையினால் இவை அனைத்தையும் மேற்கொள்ள முடிந்தது.
"In appreciation, it was a great pleasure to felicitate with gold those staff members who have completed 30 years of dedicated service.",இந்தப் பணியாளர் சபையில் 30 வருடங்கள் தொடர்ச்சியாக பணியாற்றிய பணியாளர்களுக்கு தங்க விருதுகளை வழங்க முடிந்தமை மகிழ்ச்சிக்குரிய விடயமாகும்.
"We also remember with gratitude the blessings of His Excellency the President, the Hon. Minister of Mass Media and Information, Secretary to the Ministry and the support of our Board of Directors.","மேன்மைதகு ஜனாதிபதியின் நல்லாசியும் கௌரவ அமைச்சர், அமைச்சின் செயலாளர் மற்றும் பணிப்பாளர் சபையின் ஒத்துழைப்புக்களினாலேயே மேற்கொண்ட பணிகளை தடையின்றி நிறைவு செய்து பலன்களைப் பெறமுடிந்தன."
Needless to say that the real strength behind has been our viewers who embraced the national television network throughout these decades.,இதேபோன்று முப்பது வருடகாலம் முழுவதும் தேசிய தொலைக்காட்சி என்ற ரீதியில் எம்முடன் கைகோர்த்திருந்த ரசிகர்களான பொதுமக்களினாலேயே இவற்றை சாதிக்க முடிந்துள்ளது.
"It is with all your support that we continue to strive towards fulfilling your needs while maintaining high standards and developing quality programmes as well as uplifting good taste, ultimately to reach heights of excellence in the field of television broadcasting in Sri Lanka.",அவர்களின் எதிப்பார்ப்புக்களை நிறைவேற்றி உயர்தரத்திலான ரசிகர்களின் ரசனைகளையும் புரிந்துணர்வையும் மேலும் உயர்வான நிலையில் முன்னிலைபடுத்தக்கூடிய தரமான நிகழ்ச்சிகளை தயாரித்து இலங்கை தொலைக்காட்சித் துறையில் உன்னதமான நிலையை அடைவதே எமது எதிர்பார்ப்பாகும்.
Chairman,"தலைவர்,"
Sri Lanka Rupavahini Corporation,இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனம்
Board of Directors,கூட்டுத்தாபனத்தின் பணிப்பாளர் சபை
Chairman,தலைவர்
Board Member,கூட்டுத்தாபன பணிப்பாளர்  சபை  உறுப்பினர்.
Board Member,கூட்டுத்தாபன  பணிப்பாளர் சபை உறுப்பினர்.
Board Member,கூட்டுத்தாபன பணிப்பாளர் சபை உறுப்பினர்
(Only for January month),(ஜனவரி மாதம் மட்டும்)
Board Member,கூட்டுத்தாபன பணிப்பாளர்  சபை உறுப்பினர்
Board meetings were held eight times during the year 2012.,2012 ஆம் ஆண்டில் கூட்டுத்தாபன பணிப்பாளர் சபை 08 முறை கூடியது.
Chief Executive Officer,தலைமை நிறைவேற்று அதிகாரி
Deputy Director General (Finance Manager),பிரதிப் பணிப்பாளர் நாயகம் (நிதி முகாமையாளர்)
Deputy Director General (Engineering),பிரதிப் பணிப்பாளர் நாயகம் (பொறியியலாளர்)
Deputy Director General (Production Services),பிரதிப் பணிப்பாளர் நாயகம் (தயாரிப்புச் சேவை)
Deputy Director General (Programmes),பிரதிப் பணிப்பாளர் நாயகம் (நிகழ்ச்சி)
Director (News),பணிப்பாளர் (செய்தி)
Director (Administration),பணிப்பாளர் (நிர்வாகம்)
Acting Director (Marketing),பதில் பணிப்பாளர் (சந்தைப்படுத்தல்)
Directors of the Corporation in 2012,2012ஆம் ஆண்டிற்கான கூட்டுத்தாபனத்தின் பணிப்பாளர்கள்
Director (Research & Training),பணிப்பாளர் (ஆய்வு மற்றும் பயிற்சி)
Chief Internal Auditor,பணிப்பாளர் (தலைமைக் கணக்காய்வாளர்)
Director (Security Services),பணிப்பாளர் (பாதுகாப்புச் சேவை)
Up to 16.09.2012,2012.09.16 வரை
Programme Division,நிகழ்ச்சிப் பிரிவு
Director (Film and Dubbing),பணிப்பாளர் (திரைப்படம் மற்றும் குரல்பதிவு)
Director (Drama),பணிப்பாளர் (நாடகம்)
Director (Educational Programme),பணிப்பாளர் (கல்வி நிகழ்ச்சிகள்)
Up to 22.08.2012,2012.08.22 வரை
Director (General Programme),பணிப்பாளர் (நானாவித நிகழ்ச்சிகள்)
Engineering Division,பொறியியலாளர் பிரிவு
Director (Engineering),பணிப்பாளர் (பொறியியலாளர்)
Production Services Division,தயாரிப்புச் சேவை பிரிவு
Director (Production Services),பணிப்பாளர் (தயாரிப்பச் சேவை)
Director (Production Services),பணிப்பாளர் (தயாரிப்புச் சேவை)
Director (Supplies),பணிப்பாளர் (விநியோகம்)
Programmes that won Local Accolades during 2012,2012 – தேசிய விருதுகளுக்காக தெரிவான நிகழ்ச்சிகள்
Award,கிடைத்த இடம்
Recipient of the Award,விருது பெற்றோர்
Sumathi Tele Awards,சுமதி தொலைக்காட்சி விருது விழா
Binari Teledrama,பினரி தொலைக்காட்சி நாடகம்
Best Lyrics,சிறந்த பாடலாசிரியர்
Best Singer,சிறந்த பாடகர்
Soiliyas,சோலியஸ்
Best Documentary Programme,சிறந்த விவரண நிகழ்ச்சி
Jathika Pasala A/Level Drama & Theatre,ஜாதிக பாசல உயர்தர  நாடகமும்   நடிப்புக் கலையும்
Best Educational Programme,சிறந்த கல்வி நிகழ்ச்சி
Cobe Sarisara,கோபே செரிசர
Best Sports Programme of the Year,வருடத்தின் சிறந்த விளையாட்டு நிகழ்ச்சி
The Best News Reporting,சிறந்த செய்தி அறிக்கையிடல்
Special Jury Award,சிறந்த பாராட்டுத் தேர்வு
Sri Lanka Rupavahini Corporation News Division,ரூபவாஹினி செய்திப்பிரிவு
Sitha Nivana Katha- Poya Teledram,சித நிவன கதா நோன்மதி  தொலைக்காட்சி நாடகத் தொடர்
Raigam Teles Awards,ரைகம் டெலிஸ் விருது விழா
Best Apparel Design,சிறந்த ஆடை அமைப்பு
Apuru Iskole Mahatthaya,அபூரு இஸ்கோலே மாஹத்தயா
Best Sports Programmes of the Year,வருடத்தின் சிறந்த விளையாட்டு நிகழ்ச்சி
Best Tamil News Reader,சிறந்த தமிழ் செய்தி  அறிவிப்பாளர்
“Rise & Shine” Programme,“Rice & Shine” நிகழ்ச்சி
Best Female Presenter of the Year,வருடத்தின் சிறந்த நிகழ்ச்சி  தொகுப்பாளினி
Siyambalanduwe Athage Nikama Yama,சியம்பலாண்டுவே ஏதாகே நிக்ம யாம
Best Current Affairs Programme,சிறந்த நடப்பு  விவகார நிகழ்ச்சி
Duli Pintharu Teledrama,துளி பின்தாறு தொலைகாட்சி நாடகம்
Best Lighting of the year,வருடத்தின் சிறந்த ஓளி  அலங்காரம்
Tomiyai Kitiyai Animated Programme,டொமியயி கிடியயி நேரலை நிகழ்ச்சி
Best Children Programme,சிறந்த சிறுவர் நிகழ்ச்சி
SIGNIS Tele Awards,சிக்னீஸ் விருது விழா
Best 3D Animation,சிறந்த முப்பரிமாண  நேரலைத் தயாரிப்பு
Ath Kanda Lihiniya-Teledrama (2011),எத்கந்த லிஹினியா தொலைக்காட்சி  நாடகம் (2011)
Best Trailer,சிறந்த நிகழ்ச்சி  முன்னோட்டம்
Yasa Isuru Teledrama 1,யச இசூரூ தொலைக்காட்சி நாடகம்
Best Lyrics,சிறந்த பாடல் வரிகள்
Best Music Composer,சிறந்த இசையமைப்பாளர்
Soliyas,சோலியஸ்
The Popular Documentary programme of the Year,வருடத்தின் புகழ்பெற்ற  விவரண நிகழ்ச்சி
Bunka Awards,புன்கா விருது விழா
In recognition of the artistic talents contributed through the electronic media,இலத்திரனியல் ஊடக கலைத்துறைக்கு ஆற்றிய பாரிய பணிக்கான பாராட்டு
The Best Artist of the Year,வருடத்தின் சிறந்த கலைஞர்
State Tele Awards,அரச தொலைக்காட்சி விருது விழா
Sakvittho Teledrama,சக்வித்தோ தொலைக்காட்சி நாடகம்
Best Make Up Artist,சிறந்த ஓப்பனை
Merit Award for Acting,நடிப்பாற்றல்
Yasa Isuru Teledrama,யச இசுரு தொடர்நாடகம்
Best Music Director,சிறந்த இசையமைப்பாளர்
Best Actress,சிறந்த நடிகை
Best Documentary Programme,சிறந்த விவரண  நிகழ்ச்சி
Pulathisi Diyaniya,புலதிசி தியனிய
Merit Award,ஆறுதல் பரிசு
Nadunana Minisun - 2011,நாந்துனன மினிசுன் - 2011
Mal Gudi Day,மல்குடி தவச
The Best Dubbing Programme,வருடத்தின் சிறந்த குரல் பதிவு நிகழ்ச்சி
Ranga Bhumi,ரங்க பூமி
Best Set Designing,சிறந்த அரங்க நிர்மாணம்
Pudumaippen,புதுமைப்பெண்
Best Teledrama,சிறந்த தொலைக்காட்சி நாடகம்
Manvasenai,மண் வாசனை
Best  Educational & Cultural  Programme,சிறந்த கல்வி மற்றும்  கலாச்சார நிகழ்ச்சி
Sama Geetha – (Peace Songs),சமாதான இசை நிகழ்ச்சி
Best Music Programme,சிறந்த இசை நிகழ்ச்சி
Film City,பிலிம் சிட்டி
Best  Presenter,சிறந்த அறிவிப்பாளர்
(Film City – Interview  with National Short Film Producers),(தேசிய குறுந்திரைப்படத் தயாரிப்பாளருடனான நேர்காணல்)
SAARC International Film Festival,சாக் சர்வதேச திரைப்படவிழா
Apuru Iskole Mahattaya,அபூரு இஸ்கோலே மஹத்தயா
Special Jury Award for Documentary Programme,விவரண நிகழ்ச்சிக்கான ஜூரிகளின் விசேட பரிசு
Nominated Programmes at Awards Ceremonies,விருதுகளுக்காக சிபாரிசு செய்யப்பட்ட நிகழ்ச்சிகள்
ABU Awards Festival,ABU விருது விழா
Manushya Single Episode Teledrama,மனுஷயா ஒற்றை அத்தியாய தொலைக்காட்சி நாடகம்
For Jury Award nominated for the final round,ஜுரி விருதுக்கான இறுதி சுற்றுக்கு சிபாரிசு செய்யப்பட்டது
Raigam Tele Awards,ரைகம் டெலிஸ் விருது விழா
Duli Pintaru Teledrama,துளி பின்தாறு தொலைகாட்சி நாடகம்
Merit award for Creative directing,சிறந்த இயக்கத்திற்கான விசேட ஆறுதல் பரிசு
Best Supporting Actor - Nominee,சிறந்த துணை நடிகர் - சிபாரிசு
Best Supporting Actress - Nominee,சிறந்த துணை நடிகை - சிபாரிசு
Best Programme Presenter of the Year,வருடத்தின் சிறந்த நிகழ்ச்சி தொகுப்பாளர்
Thrikonamitiya Programme – GCE/OL,திரிகோனமிதிய நிகழ்ச்சி – க.பொ.த (சாதாரண தரம்)
Best Educational programme,சிறந்த கல்வி நிகழ்ச்சி
Delft Dupathe Sancharaya,டெல்ப் தூபத்தே சஞ்சாரய
Best Documentary Programme,சிறந்த விவரண தொகுப்பு நிகழ்ச்சி
Soyamu Pilithuru,சொயமு பிலிதுரு
Best Quiz Programme of the Year,வருடத்தின் சிறந்த கேள்வி பதில் நிகழ்ச்சி
State Tele Awards,அரச ​தொலைக்காட்சி விருது விழா
The film ‘Bashu’,பஷு திரைப்படம்
Nominated as a Best Dubbed Programme,சிறந்த குரல் பதிவு நிகழ்ச்சியாக சிபாரிசு செய்யப்பட்டது
Best Supporting Actor,சிறந்த துணை நடிகர்
Best Editing,சிறந்த படத்தொகுப்பு
“Yasa Isuru” Teledrama,யசஇசுரு தொலைக்காட்சி நாடகம்
Nominated for Best Actor,சிறந்த நடிகர் - சிபாரிசு
Eberthu Etha Teledrama,எபேர்த்து எத - தொலைக்காட்சி நாடகம்
Best Teledrama,சிறந்த தொலைக்காட்சி  நாடகம்
“Eberthu Etha ” (Jathika Rupavahiniya),“எபேர்த்து எத” (தேசிய தொலைக்காட்சி)
Best Teledrama Director,சிறந்த தொலைக்காட்சி இயக்கம்
Best Actor,சிறந்த நடிகர்
Sumathi Tele Awards,சுமதி விருது விழா
Story of Cricket Sri Lanka,ஸ்டோரி ஓப் கிரிக்கெட் ஶ்ரீலங்கா
Best Sport Programme,வருடத்தின் சிறந்த விளையாட்டு நிகழ்ச்சி
Amla Bashma & Lavana,அமில பஷ்ம & லவன நிகழ்ச்சி
Best Education Programme,வருடத்தின் சிறந்த கல்வி நிகழ்ச்சி
Best Upcoming Actor - Nominee,வளர்ந்துவரும் சிறந்த நடிகர் - சிபாரிசு
Best Upcoming Actress - Nominee,வளர்ந்துவரும் சிறந்த நடிகை - சிபாரிசு
Ranga Boomi,ரங்க பூமி  நிகழ்ச்சி
Best Documentary Programme - Nominee,சிறந்த விவரண நிகழ்ச்சி - சிபாரிசு
Drama Division,நாடகப் பிரிவு
"Focusing attention on capturing a large number of viewers, this unit produced many entertainment and single episode Teledramas on varied themes and whilst producing these Teledramas the unit maintained high standards from the inception of Teledrama production and this is considered as a great achievement.","ஒன்றுக்கொன்று வேறுபட்ட தொனிப்பொருளுக்கு அமைவாக களிப்பூட்டல் மற்றும் தொலைக்காட்சி நாடக தயாரிப்புக்கள், ஆகக் கூடுதலான ரசிகர்களின் கவனத்திற்கு உள்ளானதுடன், தொலைக்காட்சி நாடக ஆரம்பகாலப் பகுதியிலிருந்து இதுவரையில் முன்னெடுக்கப்பட்டு வந்த தொலைக்காட்சி நாடகங்களின் தரத்தை பாதுகாத்து தயாரிப்புக்களை முன்னெடுப்பதற்கு முடிந்தமை வெற்றியாகும்."
It is important to note that the Teledramas produced during this year won many accolades and were able to capture the intended target audience.,குறிப்பிட்ட வருடத்தில் பிரிவினுள் தயாரிக்கப்பட்ட நாடகங்கள் விருதுகளைப் சுவீகரித்ததும் ரசிகர்களின் இலக்கை பூர்த்தி செய்வதற்கு முடிந்தமையும் முக்கியமானதாகும்.
"In times when viewers were inclined to raise questions about the quality of the present day’s Mega Teledramas, this unit was able to introduce a novel concept to Mega Teledramas with the production of “Isiwara Ranakeli” which is a long running Teledrama, whichIn turn, this captured the attention of a vast number of viewers and proved to be a turning point in the Mega Teledrama culture.","இலங்கையில் தயாரிக்கப்படும் தொடர் தொலைக்காட்சி நாடகங்களின் நாடகக்கலை தொடர்பில் ரசிகர்களின் விமர்சன விவாதங்கள் ஆரம்பமாகியுள்ள யுகத்தில் இந்த தொடர் தொலைக்காட்சி நாடக கலாசாரத்திற்கு புதிய வடிவிலான மாதிரிகளை அறிமுகப்டுத்தி இந்த வருடத்திற்குள் தயாரிக்கப்பட்ட “இசிவர ரணகெலி” தொடர் நாடகம், தொலைக்காட்சி நாடகக் கலையில் திருப்புமுனையாக மாறி பெரும் எண்ணிக்கையான ரசிகர்களின் கவனத்தையும் ஈர்க்க முடிந்தது."
Special projects carried out in 2012,2012 ஆம் ஆண்டில் விசேடமாக மேற்கொள்ளப்பட்ட பணிகளும் திட்டங்களும்
Dooli Pintharu Teledrama,துலி பினதாரு தொலைக்காட்சி நாடகம்
From 18.09.2011 to 27.05.2012.,2011.09.18 ஆம் திகதியிலிருந்து 2012.05.27  வரை
Siriduwa Wedida single episode Teledrama,சிரிதுவ வெடிதா குறுந்தொலைக் காட்சி நாடகம்
2012,2012
To commemorate Sinhala and Tamil New Year,தமிழ் சிங்கள புத்தாண்டை முன்னிட்டு
Manushya single episode Teledrama,மனுஷயா குறுந்தொலைக் காட்சி நாடகம்
To commemorate Vesak.,வெசாக் தினத்தை  முன்னிட்டு
Salmal Landa Teledrama,சல்மல் லந்த  தொலைக்காட்சி நாடகம்
Ransirimal Teledrama,ரணசிரி மல் தொலைக்காட்சி நாடகம்
Boralu Para Teledrama,பொரலு பார  தொலைக்காட்சி நாடகம்
Vijjakaraya single episode Teledrama,விஜ்ஜாகாரயா குறுந்தொலைக் காட்சி நாடகம்
2012.10.01,2012.10.01
To commemorate the World Children’s and Elder’s Day.,முதியோர் மற்றும் சிறுவர் தினங்களுக்காக
Yali Pibidee Single Episode Teledrama,யலி பிபீதி நத்தார் குறுந்தொலைக் காட்சி நாடகம்
To commemorate Christmas,நத்தார் தினத்தை முன்னிட்டு
Batahira Ahasa (Adaraneeya Yavvanaya) live,மேற்குவானம் (ஆதரணீய யௌவனய)
On every Tuesday,ஒவ்வொரு வாரமும்  செவ்வாய்க் கிழமைகளில்
Angili Salakuna,எங்கிலி சலகுண
Telecast at 11.30 pm on Thursday from July up to October 2012,2012 ஜூலை மாதம் முதல் ஒக்டோபர் மாதம் வரை ஒவ்வொரு வாரமும் வியாழக்கிழமை இரவு 11.30க்கு
Sunday Ayubowan,இரிதா ஆயூபோவன்
On the first Sunday of every month.,ஒவ்வொரு மாதமும் முதலாவது ஞாயிற்றுக்கிழமை
Ranga Bhoomi,ரங்கபூமி
On the second and fourth Sundays of every month (till September 2012),ஒவ்வொரு மாதமும் இரண்டாம் மற்றும் நான்காம் ஞாயிற்றுக்கிழமைகளில் (2012 செப்டெம்பர் மாதம் வரை)
Educational and Documentary programme,கல்வி மற்றும் விவரண நிகழ்ச்சி
Poson Poya Day live telecast,பொ​ஸொன் பௌர்ணமி நேரலை ஒளிபரப்பு
From Thanthirimale,தந்திரிமலையில் இருந்து
Esala Poya Day live telecast,எசல பௌர்ணமி நோன்மதி நேரலை ஒளிபரப்பு
From Somawathiya,சோமாவதியிலிருந்து
Salalihini Rupa Kavya,செலலிஹினி ரூப காவிய்ய
To commemorate Rupavahini’s 30th Anniversary,30 ஆவது வருட நிறைவை முன்னிட்டு
Saddharma Makaranda programme,சத்தர்ம மகரந்த  நிகழ்ச்சி
Daily from 1st September 2012 to 31st December 2012,நாளாந்தம் 2012 ஆம் ஆண்டு செப்டெம்பர் மாதம் 01ஆம் திகதியிலிருந்து டிசம்பர் 31ஆம் திகதி வரை
Thunthara Bodhiya relegious programme,துன்தாரபோதிய  மத நிகழ்ச்சி
Every Poya Day from month of October 2012,2012 ஆம் ஆண்டு அக்டோபர் மாதம் முதல் ஒவ்வொரு நோன்மதி தினமும்
Rupavahini State Award Ceremony and Sumathi Tele-Awards Ceremony,அரச விருதுவிழா மற்றும் சுமதி விருதுவிழா
Jana Niyamuwano programme,ஜன நியமுவானோ நிகழ்ச்சி
to comomorate 12th Anniversary of Dharmasiri Senanayake,தர்மசிறி சேனாநாயக்காவின் 12ஆவது நினைவு தினத்திற்காக
Daha Ata Sanniya Shanthi Karmaya,தாஹட சன்னிய வழிப்பாட்டு நிகழ்ச்சி
To mark Broadcasting Co-operations’s 87th Anniversary,இலங்கை ஒலிபரப்புக் கூட்டுத்தாபனத்தின் 87வது  ஆண்டு நிறைவுக்காக
Music Unit,இசைப் பிரிவு
Programs produced and telecasted by the Sri Lanka Rupavahini Corporation Music Unit in 2012,2012 ஆம் ஆண்டில் இசைப் பிரிவினால் தயாரிக்கப்பட்ட நிகழ்ச்சிகள்
Music Programs,இசை நிகழ்ச்சிகள்
Produced other Programmes,தயரிக்கப்பட்ட ஏனைய நிகழ்ச்சிகள்
Kunkuma Pottu (Popular Tamil Chart Show),குங்கும பொட்டு (பிரசித்திபெற்ற தமிழ் இசை அட்டவணை)
"Sisindra Show,",சிசின்தரா நிகழ்சசி
Vesak for Children,சிறுவர்களுக்கான வெசாக்
Prathibha Prabha,பிரதிபா பிரபா
Ridee Tharaka (Popular Sinhala Chart Show),ரிதீ தாரகா (பிரசித்திபெற்ற சிங்கள இசை நிகழ்ச்சி)
Wednesday Nugasevana,பதாதா நுகசெவன
Rhythm Chat ( Entertaining Music Programme),ரிதம்செட் (பொழுதுபோக்கு இசை நிகழ்ச்சி)
Gee Sara,கீ சர
Pasku Gee,பாஸ்க்கு கீ
Anula Gee Sara,அனுல கீ சர
Paramitha (live telecast),பாரமிதா (நேரலை ஒளிபரப்பு)
Miyasi Visaka,மியெசி விசாகா
Gusi Peace award,குசீ சாம தியாகய
Sanda Diya Dothak (a conversational programme with musicians),சந்த திய தோதக் (இசைக் கலைஞர்களுடனான பாடல் நிகழ்ச்சி)
Janapathi Seth Pirith,ஜனாதிபதிக்கான செத்பிரித்
Christmas Songs,நத்தார் கீதங்கள்
Avurudu Udanaya,அவுருது உதானய
